Program: Program Name,Partner Status,Program Description,Program Duration,Service Type,Where does your program take place?,Primary Service Area,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Account Name
Tax and Financial Services,Active,"FREE tax preparation
? FREE e-filing for FAST refund
? FREE direct deposit
? FREE ITIN applications
ELIGIBILITY - Families earning up to $58,000 a year. No appointments, Walk-in's only.

http://d2dmd73kpz2s55.cloudfront.net/uploads/pdf_upload/pdf/5878ed606e6569190e920000/419d6729-8ca7-4729-b9ad-09ade99b4367.pdf",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,Community Development,6500 Rookin St.,Houston,,77074,Baker Ripley
Discover You,Active,"Our Discover You program focuses on 21st century skill building such as communication, professionalism, leadership, teamwork, and networking.  We also work with the students on how to create a resume, job interview skills, completing a college application, social media awareness, and financial literacy.  The programs overall goal is to prepared the students for life after high school ? in college or their career.",70-90 minutes (Block Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,Community Development,6500 Rookin St.,Houston,,77074,Baker Ripley
Youth Connect,Active,Youth practice leadership roles and active citizenship.,70-90 minutes (Block Schedule),,On School Campus,Community Development,6500 Rookin St.,Houston,,77074,Baker Ripley
Baylor Teen Clinic Counseling Group,Active,Meet with small groups of students to do group counseling. We provide education on healthy decision-making and reproductive choices to numerous students HISD and Alief campuses with the Big Decisions curriculum. A student attends a group session once a week during a set elective class period to work on self-esteem and awareness in a peer-support model.,Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",3815 Cavalcade Street,Houston,TX,77026,Baylor Teen Health Clinic
Baylor Teen Clinic Services,Active,"Students can access the clinic by appointment or walk-in to receive reproductive health, well- male or woman exams, counseling and other services during clinic business hours. STD Testing, Flu Shots, Pregnancy Testing, Immunizations, Physicals",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",3815 Cavalcade Street,Houston,TX,77026,Baylor Teen Health Clinic
"GINI (Get Informed, Not Infected) Program",Active,"Reproductive anatomy, HIV and STI's",45-60 minutes (Period Schedule),,On School Campus,Community Development,"9896 Bissonnet St,","Houston,",,77036,Bee Busy Inc.
Books Between Kids Book Celebration,Active,"A book celebration is a free book fair, where kids get to ""shop"" for and select 6 books to take home at the end of the year. Participating schools have the flexibility to determine the schedule and timing of the celebration within the pre-determined window (between STAAR testing and the end of the school year ).",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)","9947 Harwin Dr., Suite B",Houston,,77036,Books Between Kids
Brighter Bites Food Distribution,Active,"Engage schools, bring food to the campus (usually cafeteria), bag the food, provide samples and instructions on how to prepare the food and allow families to take home around 50-60 pounds of fresh produce.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",PO Box 25456,Houston,,77265,Brighter Bites
Building a Village of Men - 2016-2017,Active,,,,,,,,,,Building a Village of Men
Immigrant Services,Active,"We are dedicated to providing high quality, low-cost and pro bono legal services to immigrants and refugees who would otherwise not be able to obtain legal representation. Center activities include outreach, legal assessment and counseling, citizen application assistance, legal representation and advocacy. The Cabrini Center is the largest non-profit immigration legal service provider in Houston accredited by the Board of Immigration Appeals to represent individuals in immigration legal matters.

INFO SESSIONS:
We provide on-site information sessions called Charlas, free of charge, three times per month at both the main office in Houston and in Richmond at Catholic Charities? Mamie George Community Center. Charla attendees learn about immigration laws, and afterwards have the opportunity for a free consultation with an Immigration Attorney or Accredited Representative. Free Citizenship Workshops are also offered each month and staff provides citizen application assistance. View our calendar for upcoming dates.

CITIZENSHIP WORKSHOPS:
Application assistance is offered for a person seeking to apply for U.S. Citizenship. No service fees for counsel, advice and assistance with applications. Attorneys and accredited representatives will be present to screen for eligibility. All workshops begin at 8 a.m. unless otherwise noted. Pre-registration is required before attending; no walk-ins accepting. Please email Citizenship@CatholicCharities.org or call 713-874-6700 to register. Click on our events calendar to view the next available workshop.

SERVICES FOR CHILDREN:
Another service our Cabrini program offers is Deferred Action for Childhood Arrivals Application Assistance Services, (DACA).

For more information on our homes for unaccompanied minors that have refugee or undocumented status, click here.

WE DO SERVE: YES
Family Petitions
Naturalization
Cuban Adjustment
Refugee and Asylee Adjustment
T Visa, U Visa, & VAWA
Asylum
Unaccompanied Minors
Deferred Action

WE DO NOT SERVE: NO
Business or Employment Immigration
Legalization or new TPS cases
Other types of legal services such as Family Law
U.S. Passport Services

ELIGIBILITY:
All services of the Cabrini Center are provided without regard to race, religion or socioeconomic status.

Applicants must have:

No criminal convictions with the exception of prior clients
No cases filed by other attorneys or notaries (unless we have a copy of previously filed I-130)
No Consular Processing cases if there are multiple entries
Clients must be referred by Refugee/Resettlement, St. Jerome?s, or through a Charla
No walk-ins are allowed except for Charlas ? we see clients by appointment only.

Main Office: 2900 Louisiana Street, Houston, Texas 77006, 713-526-4611

Mamie George Community Center in Fort Bend County: 1111 Collins Road, Richmond, Texas 77469, 281-202-6200",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,Early Childhood,2615 Fanin street,Houston,,77002,Catholic Charities
Refugee Services,Active,"In helping to create a home-away-from-home, we assist government-approved refugees in becoming self-sufficient through cultural orientation, job development, family reunification and resettlement. We assist newcomers approved by the federal government in securing housing, food, clothing and other necessities, accessing experienced social workers, gaining jobs, life and language skills, and otherwise assimilating into the nation?s fourth largest city.
After-School Program
Airport Reception
Case Management
Cultural Orientation
Employment Training and Job Placement
ESL
Financial Assistance
Housing
Interpretation/Translation
Referrals to Social Service Agencies
Vocational Training
ELIGIBILITY: 
Must be legally admitted to the United States as a refugee, asylee, Cuban entrant, victim of severe trafficking, or other population deemed eligible by the Health & Human Service Office of Refugee Resettlement.
Must be within Office of Refugee Resettlement five-year eligibility period (from date of arrival in the US/date of asylum certification).",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,Early Childhood,2615 Fanin street,Houston,,77002,Catholic Charities
Counseling services,Active,We offer psycho-ed groups at the high schools with the prenatal and parenting groups. We also offer counseling in inner-catholic schools to individual students through a grant.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,Early Childhood,2615 Fanin street,Houston,,77002,Catholic Charities
Prenatal and parenting classes,Active,We provide prenatal and parenting classes in English and Spanish to help parents learn new skills so that they can raise a strong and healthy family.,Either/Flexible,Referral out - Deliver services off-site,On School Campus,Early Childhood,2615 Fanin street,Houston,,77002,Catholic Charities
Stand Strong - Stay Safe Elementary,Active,"Five 30-minute lessons teach second through fifth grade students to set and defend personal boundaries, be assertive, and get help when faced with unsafe situations. The program uses a series of comic book style stories to introduce and discuss the concepts of boundaries, consent, physical abuse, sexual abuse, emotional
abuse, and bullying. Practice and repetition are provided through group activities, role-plays, follow-up activities, and Home Connections.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Stand Strong - Stay Safe - Early Childhood,Active,"Curriculum Description
This prekindergarten through first grade curriculum teaches how to prevent victimization through
assertiveness skill building. Through interactive presentations and role-play, children learn how to stay safe
from bullying, emotional abuse, physical abuse, sexual abuse, and neglect. Follow-up activities, Home
Connections, and a Parent Guide allow for ongoing practice and repetition to increase retention of the skills.
There are four 20-minute lessons.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Love Notes v2.0,Active,"Curriculum Description
Love Notes v2.0 is an evidence-based pregnancy-prevention program for at-risk youth. In a 13-lesson
adaptation of Relationships Smarts PLUS 3.0 that integrates relationship skills with practical pregnancy
prevention strategies, students learn how to make wise choices about partners, sex, relationships, pregnancy,
and more.
Full Day
Curriculum Content
? Forming and maintaining healthy
relationships
? Assessing relationships and making
decisions
? Healthy vs. unhealthy relationships
? Effective communication and conflict
management
? Intimacy and sexual values
? Unplanned pregnancy and relationship
turbulence
? The Success Sequence
Training Objectives
Participants will be able to:
1. Demonstrate setting boundaries and applying them at the first sign of disrespect
2. Identify early warning signs of abuse
3. Distinguish between healthy and unhealthy relationships
4. Increase skills in decision making, problem solving, communication, and conflict management
5. Teach youth to cultivate a personal vision for love,
intimacy, and success
6. Express confidence in their ability to teach the program to students",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Relationship Smarts PLUS 3.0,Active,"Curriculum Description
This 12-lesson, evidence-based curriculum teaches middle and high school students how to build skills
necessary for healthy relationships. Topics include self-awareness, goal setting, respect, boundaries, dating
violence, communication, unplanned pregnancy, and social media. Each lesson is packed with engaging,
hands-on, informative, and upbeat activities that build the skills and knowledge necessary to make wise
choices and develop healthy relationships now and in the future.
Full Day
Training Objectives
Participants will be able to:
1. Recognize the nature of romantic attractions and how to
build healthy relationships
2. Recognize the benefits to the low risk approach to
relationships: Decide, don?t slide!
3. Identify early warning signs of abuse
4. Distinguish between healthy and unhealthy relationships
5. Increase skills in decision making, problem solving,
communication, and conflict management
6. Express confidence in their ability to teach the program
to students",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Parents Under Construction Training,Active,"Parents Under Construction enhances children?s awareness of how parenting
influences children?s mental health. The program helps children today learn the parenting skills they will need
in the future. This program increases the social and emotional competence of children and prevents physical
abuse, emotional abuse, and mental health challenges now and in future generations.

Curriculum Content

? Increase knowledge of parenting
responsibilities, demands, and costs
? Learn accurate information about child
development
? Develop empathy for children and parents
? Enhance their knowledge about mental
health, and understand the relationship
between parenting practices and the child?s
mental health
? Apply a wide range of positive discipline
techniques
? Learn how to create a nurturing environment
for the wellbeing of children",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Childbuilders - 2016-2017,Active,,,,,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Build to Nurture,Active,"Build to Nurture prepares children with the social and emotional skills they need to become caring, nurturing, and contributing members of their families and communities.

 

Curriculum

Lesson 1. Welcome to Your Classroom Community
Lesson 2. Knowing Your Emotions
Lesson 3. Emotional Control
Lesson 4. Assertiveness
Lesson 5. Empathy
Lesson 6. Consequences
Lesson 7. Solving Problems
Lesson 8. Kind Words",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","2425 Fountain View Dr, Suite 210",Houston,TX,77057,Childbuilders
Preparation for Adult Living (Pal),Active,"The Preparation for Adult Living (PAL) program was implemented in 1986 to ensure that older youth in substitute care are prepared for their inevitable departure from the Texas Department of Family and Protective Services? care and support. At any given time, there are about 3,500 youth 16 years of age and older in substitute care. PAL program staff strive to provide each of these youth with skills and resources they will need to be healthy, productive adults.

Preparing youth for adulthood is much more than teaching them how to balance a checkbook and sign a lease. PAL services include involvement in programs aimed at improving youths' self-esteem and improving their ability to make responsible decisions. PAL helps youth face the challenges of adulthood and independence.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",1330 E. 40th Street,Houston,,77022,Children's Protective Services
Civil Society Workshop,Active,"Personal development, career choice leadership program, college preparedness, self-awareness, self-care, emotional intelligence, work ethic, social skills, executive functions, identifying career, best practices to land a job, business basics, picking a college.",Other (Please specify in Description),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Community Development,2525 S. Voss Rd suite 265,Houston,,77057,Civil Society
Civil Society Mentorship Program,Active,Pairing kids with Career professionals to help guild them through career choices.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,Community Development,2525 S. Voss Rd suite 265,Houston,,77057,Civil Society
CLAY Student Leadership,Active,"CLAY?s unique youth-friendly curriculum engages students through music, journaling, and consistent mentorship, instilling leadership values through an interactive experience that allows students to absorb and apply simple truths. In addition, family team building and intentional leadership seminars equip parents to take an active role in the lives of their children and engage them with their school administration.
Participation in CLAY Student Leadership programs produces the following results in students:
Improved academic performance
Goal-oriented life planning
Increased sense of purpose and self-worth
A shift in attitude and behavior
Increased sense of support from family and school",45-60 minutes (Period Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)","17150 Butte Creek Road, Suite 100",Houston,,77090,CLAY Student Leadership
Provide Clothing,Active,We provide a weeks worth of clothing along with new underwear & socks. We also provide shoes.,Either/Flexible,Referral out - Deliver services off-site,Off School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",438 East 8th Street,Deer Park,,77536,Clothed By Faith Southeast Houston
Collaborative for Children,Active,bridge a critical gap and provide thousands of area children with the foundation they need to become tomorrow's valuable community members.,Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)","1111 North Loop West, Suite 600",Houston,,77008,Collaborative for Children
College Community Career - 2016-2017,Active,,,,,"Education and vocational (Vocational training, employment services, college and career readiness)","CollegeCommunityCareer
12926 Dairy Ashford, Suite 110",Sugar Land,TX,77478,College Community Career
Robotics- STEM,Active,This introductory STEM Robotics master curriculum uses the LEGO® MINDSTORMS® NXT Education Base Set and NXT-G software to teach a full STEM Robotics course.  Youth will build and code a robot.  This develops team building and they participate in competitions through HP.,Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
Youth Financial Literacy,Active,"Curriculum introduces key personal finance concepts to youth. This includes age-appropriate activities designed to teach children about ?paying yourself first,? ?wants versus needs,? and other important lessons. Also helps youth learn the basics of handling their money and finances, including how to create positive relationships with financial institutions.",Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
Entrepreneurial Leadership,Active,"The Youth Entrepreneurial Leadership program strives to cultivate and engage young learners in the entrepreneurial process. The Entrepreneurial Leadership program?s purpose is to develop future business leaders and entrepreneurs. The program is intensive & focused on developing creativity, teamwork, business and leadership skills.  Youth are encouraged to draw their business interests through their talents and passions, things they are good at, to explore as an opportunity to be a business owner",Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
Career Development,Active,"Career exploration activities help youth understand what careers are available and what skills and experience those careers require. Activities are individualized, helping youth match their own strengths and interests to career paths. Other times, group activities teach youth about local industries or train them in vocations such as culinary arts or cosmetology.  Work experiences give youth actual job experience, whether the work is done in the community or at the program. Some programs include training in work readiness skills, such as proper business behavior and communication. Others may include job-search skills such as interviewing.",Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
Tutorials,Active,"The Tutorial program provides after school tutorial support students K ? 12.  Structured tutorial activities are implemented to complement and support the student?s school homework, and areas of difficulty.",Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
"Health, Fitness & Wellness",Active,"Curriculum emphasizes leading the movement to empower youth to be active players in creating a healthier future. We provide the youth a wellness program that teaches and promotes healthy choices and active lifestyles using combination of PLAY, (think games, fitness activities, and fun movement) with EDUCATION.",Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
The Arts,Active,"Curriculum is geared towards the visual and performing arts.  Classes offered are fine arts, dance, music, theater, film making, photography, and acting.",Either/Flexible,,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)","2700 Post Oak Blvd
Floor 21",Houston,,77056,Color of Life Community Resource & Activity Center
Youth Services- Youth Prevention Universal,Active,"Positive Action Curriculum- group sessions once a week
Alternative Activities- AOD or Tobacco information
Presentations- AOD or Tobacco information
Alternative Activities or Presentations on Opiates 
Parenting Group Sessions",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Community Development,7524 Avenue E,Houston,,77012,Community Family Centers
Youth Services- Youth Prevention Indicated,Active,"Positive Action Curriculum- Pre/Post Test
Group Sessions
Individual Sessions - Screening, Evaluations and Service Plan are done.
Alternative Activities
Presentations
Parenting Groups",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Community Development,7524 Avenue E,Houston,,77012,Community Family Centers
Steam Team,Active,"This hands-on, project based curriculum is comprised of five workshops: science, technology, engineering, arts and math. Participants in grades 5-8 will increase knowledge and technical skills as well as enhance soft skills such as communication, collaboration, problem-solving and critical thinking. As the curriculum leverages technology to train students in each subject, students will learn that understanding technology provides a foundation for skill development across a broad range of industries. Learning topics include: aerodynamics, biomedical/biomechanical engineering, hardware and software engineering, imperial to metric conversions and product development, graphic design and advertising.",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",1602 Airline Drive,Houston,TX,77009,Comp-U-Dopt
@THEWAREHOUSE,Active,"Our @thewarehouse program teaches students how to build their own video game from creation of their own superhero, narrative design, through to a playable interface and demonstration session with their fellow classmates. This program is delivered only at our Airline Drive location in partnership with the Boys and Girls Club of Greater Houston.

Research shows students who participate in after school programs have better attendance, lower drop out rates and higher academic achievement levels. Our @thewarehouse program gives working families the support they need while teaching students in 2nd-
6th grade how to build their own video game from character design through a playable interface.",,,,"Education and vocational (Vocational training, employment services, college and career readiness)",1602 Airline Drive,Houston,TX,77009,Comp-U-Dopt
Computer Adoption Program,Active,"Through this program, lightly used donated corporate computers are converted to a Linux operating system, loaded with freeware education programs and given to deserving applicants in the 3rd through 8th grade. To qualify, children complete an application and submit an essay demonstrating their need for a computer. The child will then attend a two-hour training session with a parent or guardian at their school. Training sessions are run every other Saturday during the school year with selected partner schools.
The school can apply for this and students can attend on the Saturday and keep a laptop after finishing.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",1602 Airline Drive,Houston,TX,77009,Comp-U-Dopt
Counseling Services,Active,"Only at Key Middle School. Delivered on campus by Constance Jackson, a former counselor from The Harris Center. Delivering one on one mental health counseling with students at Key.
Three days a week, M, W, F for 6-8 grade. Group of about 15 students max.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","610 Murphy Rd. Suite #206
Stafford, Texas 77477",Stafford,,77477,Connie's Gifts- Home & Family Advocate
STAR (Services to At Risk Youth) Program,Active,"DePelchin Children?s Center offers free individual and family counseling in addition to parenting support through its STAR (Sevices-to-At-Risk-Youth) Program.

Famlies in crisis need immediate help.  Crises often involve a breakdown in family relationships and come in various forms: a child running away or problems at school. DePelchin helps families work through issues through its STAR program. Through its free counseling services, DePelchin helps families address a range of issues, including but not limited to:

behavioral problems
school problems
low self-esteem
harming self or others
family conflict
loss and grief
depression and anxiety
In addition to free counseling support, the STAR Program offers skills-based training groups for youth as well as caregivers, that focus on problem solving, goal setting and parenting skills. These classes are also of no cost and are held at DePelchin?s main campus on Memorial Drive.

WHO QUALIFIES FOR THE STAR PROGRAM?
A family must live in Harris, Fort Bend or Waller County and have a youth, age 18 or younger, to qualify for the STAR Program.

CONTACT US
To schedule an appointment with a STAR therapist, call (713) 664-3459 in Harris County or (281) 261-1341 in Fort Bend and Waller Counties.  STAR services are of no cost and are provided in both English and Spanish.",,Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4950 Memorial Drive,Houston,TX,77007,DePelchin
Positive Parent Program,Active,"Parenting classes that teach behavior management, provide home visits, home-based services to build parenting skills for young parents.

This is for 5-10 people for an 8 week program for one hour a week.

Criteria: students with children or the parents themselves",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4950 Memorial Drive,Houston,TX,77007,DePelchin
DiscoverU Catalog - FLO Coordinator,Active,"FLO Coordinator will come to recruit students for summer programming using DiscoverU's catalog. Emily Sketch Haines will be the FLO Coordinator. Students will be applying to the summer programs throughout the year and will go on the trip in the summer.

This year, DiscoverU will be operating out of a cohort system and recruit 40 students to work with intensely over the fall semester. Walk in students are still able to receive services but the main focus will be the 40 initial students identified.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",P.O. Box 4059,Houston,TX,77210,DiscoverU
Juvenile Justice Project,Active,"The current Earl Carl Institute?s Juvenile Justice Project addresses the issue of disproportionate minority contact (DMC), through a holistic approach, by providing legal representation to children who are in multiple systems including the criminal justice system, disparate educational systems, the mental health system and foster care system.  The Institute provides FREE legal representation to students seeking to have their criminal records cleared, students in school disciplinary and special education hearings, students in foster care, cases pending in Justice of the Peace and Municipal Courts and the Juvenile Delinquency courts.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",3100 Cleburne St.,Houston,,77004,"Earl Carl Institute for Legal & Social Policy, Inc."
Embrace Your Future,Active,Embrace Your Future is a comprehensive academic advising and college counseling program for low income minority students who want to go to college and/or pursue a career.,Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",9494 Southwest Freeway,Houston,,77070,Embrace Your Future
EMERGE Program,Active,"College counseling for top tier students in underserved populations. This is done through a counselor called Program Managers who work with a small cohort of students who apply and are accepted into the program via GPA, SAT Scores, extracurricular activities, and interview. etc. Includes college exposure, field trips, etc.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",2450 Louisiana St.  Suite 400 #430,Houston,Texas,77006,Emerge
Mentoring,Active,Mentoring Boys using their curriculum. Not working with them this 2017-2018 year.,,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",PO Box 604,Bellaire,,77402,Emerging 100 Houston
