,Program: Program Name,Partner Status,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,address,latitude,longitude,success
186,Tutoring,Active,16623 Hafer Road,Houston,TX,77090-4401,16623 Hafer Road Houston TX 77090-4401,37.7937635,-122.3925413,False
187,All Stars,Active,313 Jackson Hill St,Houston,TX,77007,313 Jackson Hill St Houston TX 77007,29.764458779661,-95.4018756271187,True
188,Foster Grandparents Program of Harris County,Active,5601 S. Braeswood,Houston,TX,77096,5601 S. Braeswood Houston TX 77096,37.7937635,-122.3925413,False
189,Crisis Hotline,Active,9401 Southwest Freeway,Houston,TX,77074,9401 Southwest Freeway Houston TX 77074,29.699766,-95.5185754,True
190,Clinic Mental Health Services,Active,9401 Southwest Freeway,Houston,TX,77074,9401 Southwest Freeway Houston TX 77074,29.699766,-95.5185754,True
191,Mental Health Counseling,Active,9401 Southwest Freeway,Houston,TX,77074,9401 Southwest Freeway Houston TX 77074,29.699766,-95.5185754,True
192,Bible Study,Active,4800 Calhoun Rd,Houston,TX,77004,4800 Calhoun Rd Houston TX 77004,29.7207902,-95.3440627149137,True
193,Orientation Service Project,Active,2929 McKinney Suite A,Houston,TX,77003,2929 McKinney Suite A Houston TX 77003,37.7937635,-122.3925413,False
194,Back to School Bash,Active,2929 McKinney Suite A,Houston,TX,77003,2929 McKinney Suite A Houston TX 77003,37.7937635,-122.3925413,False
195,Intern,Active,2929 McKinney Suite A,Houston,TX,77003,2929 McKinney Suite A Houston TX 77003,37.7937635,-122.3925413,False
196,Be the Peace Be the Hope,Active,777 Post Oak Blvd. 6th floor,Houston,TX,77056,777 Post Oak Blvd. 6th floor Houston TX 77056,37.7937635,-122.3925413,False
197,Earn and Learn,Active,4615 Southwest Freeway,Houston,TX,77027,4615 Southwest Freeway Houston TX 77027,29.729205,-95.452671,True
198,Power Up The Heat,Active,5353 West Alabama,HOUSTON,TX,77056,5353 West Alabama HOUSTON TX 77056,37.7937635,-122.3925413,False
199,WAM - What About Me? Program,Active,5353 West Alabama,HOUSTON,TX,77056,5353 West Alabama HOUSTON TX 77056,37.7937635,-122.3925413,False
200,The Woods Project Club Program,Active,2700 Southwest Freeway,Houston,TX,77098,2700 Southwest Freeway Houston TX 77098,29.7296916,-95.4192405114734,True
201,The Woods Project Weekend Trips,Active,2700 Southwest Freeway,Houston,TX,77098,2700 Southwest Freeway Houston TX 77098,29.7296916,-95.4192405114734,True
202,The Woods Project Summer Trip,Active,2700 Southwest Freeway,Houston,TX,77098,2700 Southwest Freeway Houston TX 77098,29.7296916,-95.4192405114734,True
203,Athletes For Computer Science,Active,75 N. Thatcher Bend Circle,Spring,TX,77389,75 N. Thatcher Bend Circle Spring TX 77389,37.7937635,-122.3925413,False
204,Teacher Trainings,Active,2900 Weslayan Street Suite 375,Houston,TX,77027,2900 Weslayan Street Suite 375 Houston TX 77027,37.7937635,-122.3925413,False
205,Teacher Coaching Support,Active,2900 Weslayan Street Suite 375,Houston,TX,77027,2900 Weslayan Street Suite 375 Houston TX 77027,37.7937635,-122.3925413,False
206,Admin Leadership Training,Active,2900 Weslayan Street Suite 375,Houston,TX,77027,2900 Weslayan Street Suite 375 Houston TX 77027,37.7937635,-122.3925413,False
207,Character Does Matter,Active,2929 McKinney Street,Houston,TX,77003,2929 McKinney Street Houston TX 77003,29.7470277142857,-95.3482827142857,True
208,TRIAD Truancy Class,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
209,Interns,Active,"3511 Cullen Blvd., Room 110HA",Houston,TX,77204-4013,"3511 Cullen Blvd., Room 110HA Houston TX 77204-4013",37.7937635,-122.3925413,False
210,Life skills and Anger Management,Active,5519 Lawndale Street,Houston,TX,77023,5519 Lawndale Street Houston TX 77023,29.7271496,-95.3189916,True
211,"Unlimited Visions Aftercare, YRC",Active,5519 Lawndale Street,Houston,TX,77023,5519 Lawndale Street Houston TX 77023,29.7271496,-95.3189916,True
212,Salesforce Implementation,Active,Oak Park Dr,Houston,TX,77070,Oak Park Dr Houston TX 77070,30.237087,-95.395082,True
213,Teen Health Clinic,Active,6410 Fannin St. 5th floor,Houston,TX,77030,6410 Fannin St. 5th floor Houston TX 77030,37.7937635,-122.3925413,False
214,College Readiness Program,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
215,n/a/,Active,424 Hahlo Street,Houston,TX,77020,424 Hahlo Street Houston TX 77020,29.7803014,-95.3098685,True
216,Mentoring Program,Active,,Houston,TX,, Houston TX ,29.7589382,-95.3676974,True
217,YDC Academic After School Tutorials,Active,7725 Sandra Street,Houston,TX,7016,7725 Sandra Street Houston TX 7016,29.830131122449,-95.3140656326531,True
218,YDC Enrichment Programs,Active,7725 Sandra Street,Houston,TX,7016,7725 Sandra Street Houston TX 7016,29.830131122449,-95.3140656326531,True
